code,cap_category
ETN,large-cap
DTE,medium-cap
FAST,medium-cap
FICO,medium-cap
ED,medium-cap
CDNS,large-cap
KO,large-cap
CAL,small-cap
FI,large-cap
ADM,medium-cap
HON,large-cap
TROW,medium-cap
MSFT,large-cap
XOM,large-cap
ITT,small-cap
APO,large-cap
HCA,large-cap
HLT,large-cap
ALLE,small-cap
SLB,large-cap
XPRO,small-cap
AMGN,large-cap
NWS,small-cap
NWSA,small-cap
CDW,medium-cap
COP,large-cap
IQV,medium-cap
MO,large-cap
PEP,large-cap
ZTS,large-cap
NCLH,small-cap
ABBV,large-cap
PCG,medium-cap
FANG,medium-cap
WDAY,large-cap
PNR,small-cap
PANW,large-cap
NOW,large-cap
META,large-cap
PSX,medium-cap
ENPH,small-cap
EPAM,small-cap
APTV,small-cap
XYL,medium-cap
MPC,medium-cap
HII,small-cap
GOOG,large-cap
UDR,small-cap
METV,small-cap
EXC,medium-cap
KLAC,large-cap
HST,small-cap
GPC,small-cap
CLX,small-cap
SWKS,small-cap
MMC,large-cap
JCI,medium-cap
ADP,large-cap
AVY,small-cap
TFX,small-cap
ES,small-cap
MCD,large-cap
SWK,small-cap
JPM,large-cap
ATI,small-cap
JBHT,small-cap
SJM,small-cap
RVTY,small-cap
PH,large-cap
CMI,medium-cap
TJX,large-cap
IFF,small-cap
WY,small-cap
BDX,large-cap
APA,small-cap
NI,small-cap
WFC,large-cap
WMB,large-cap
HBAN,medium-cap
LRCX,large-cap
MCO,large-cap
HUM,medium-cap
AXP,large-cap
LNT,small-cap
LUV,small-cap
FRT,small-cap
NTRS,small-cap
AFL,large-cap
NDSN,small-cap
NKE,large-cap
BALL,small-cap
ITW,large-cap
CAG,small-cap
WMT,large-cap
PHM,medium-cap
MU,large-cap
IPG,small-cap
HAS,small-cap
LEN,medium-cap
GWW,medium-cap
EFX,medium-cap
J,small-cap
MKC,small-cap
SYY,medium-cap
TER,small-cap
LLY,large-cap
LEE,small-cap
DHR,large-cap
BK,large-cap
TGT,large-cap
UNP,large-cap
AJG,large-cap
IP,small-cap
BEN,small-cap
ROL,medium-cap
VLTO,medium-cap
AEP,medium-cap
EVRG,small-cap
ETR,medium-cap
XEL,medium-cap
KVUE,medium-cap
HAL,medium-cap
PEG,medium-cap
CTAS,large-cap
TXT,small-cap
GEHC,medium-cap
WEC,medium-cap
CINF,medium-cap
NEE,large-cap
CHD,medium-cap
FE,medium-cap
WBD,medium-cap
MSI,large-cap
MRK,large-cap
CEG,large-cap
MMM,large-cap
PPL,medium-cap
PPG,medium-cap
GLW,medium-cap
JNJ,large-cap
EMR,large-cap
PFE,large-cap
CNP,small-cap
CMS,small-cap
EQT,medium-cap
HWM,medium-cap
NOC,large-cap
MTB,medium-cap
RF,small-cap
OXY,medium-cap
NUE,medium-cap
FITB,medium-cap
MAS,small-cap
ATO,small-cap
HUBB,medium-cap
HRL,small-cap
OMC,small-cap
HES,medium-cap
APD,large-cap
PNW,small-cap
DUK,large-cap
BAX,small-cap
HPQ,medium-cap
K,medium-cap
L,small-cap
BH,small-cap
DIS,large-cap
DOV,medium-cap
F,medium-cap
LHX,medium-cap
CPB,small-cap
OKE,large-cap
SW,medium-cap
AEE,medium-cap
GEV,large-cap
SOLV,small-cap
SHW,large-cap
TSLA,large-cap
